company,stock_name,fye,qtr,qrd,date_announced,cipr,pipr,ccpr,pcpr,cippl,pippl,ccppl,pcppl,cipplt,pipplt,ccpplt,pcpplt,ref
ENGLOTECHS HOLDING BHD,"ENGLOTC  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,20947,20852,85660,75408,"2,196","3,157","10,425","11,159","2,088","2,728","9,161","9,438",562307
COMSA FARMS BERHAD,"COMSA  
 ",31/12/2004,3,31/3/2005,28 Feb 2005  ,60978,52718,188551,168711,"2,523","2,948","10,238","8,794","2,626","3,320","9,069","10,320",562310
WOO HING BROTHERS (MALAYA) BERHAD,"WOOHING  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,0,0,0,711,-152,"-2,041",-847,"-8,031",-152,"-2,041",-847,"-8,031",562329
CME GROUP BERHAD,"CME  
 ",31/12/2004,4,31/12/2004,25 Feb 2005  ,1615,12703,2041,14958,"-1,215",-986,"-4,862","-3,694","-1,215","-1,113","-4,862","-3,821",562336
PANTAI HOLDINGS BERHAD,"PANTAI  
 ",31/12/2004,2,30/6/2005,22 Feb 2005  ,167865,151478,340327,297237,"15,664","8,614","31,416","16,392","10,008","4,385","19,508","8,718",562342
IOI CORPORATION BERHAD,"IOICORP  
 ",31/12/2004,2,30/6/2005,17 Feb 2005  ,1480128,1389174,3194333,2663290,"315,370","280,756","636,401","534,026","304,052","175,345","514,168","332,781",562354
CYMAO HOLDINGS BERHAD,"CYMAO  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,46122,19992,195148,19992,"5,182","3,231","25,342","3,223","5,304","2,808","20,964","2,800",562910
P.I.E. INDUSTRIAL BERHAD,"PIE  
 ",31/12/2004,4,31/12/2004,25 Feb 2005  ,42459,41252,154123,121653,"4,646","4,543","14,198","10,717","4,053","2,858","11,110","7,437",562915
MINPLY HOLDINGS (M) BERHAD,"MINPLY  
 ",31/12/2004,4,31/12/2004,25 Feb 2005  ,18195,21604,66263,65299,-73,"-8,578","-10,232","-15,466","-3,497","-7,403","-12,417","-12,518",562917
MULTI-CODE ELECTRONICS INDUSTRIES (M) BHD,"MULTICO  
 ",31/1/2005,2,31/7/2005,31 Mar 2005  ,15032,9433,28412,20510,"1,549",585,"3,346","2,077","1,151",451,"2,505","1,609",562937
