Date,TotalDose1,TotalDose2,TotalRegistered,TotalVaccinated,diff,%vaccinated,daily_average 1st_dose,daily_average 2nd_dose
2/3/2021,"53,287",0,"1,669,723","53,287","1,616,436",3.19%,53287,
3/3/2021,"80,336",0,"1,773,254","80,336","1,692,918",4.53%,40168,
4/3/2021,"99,616",0,"1,909,585","99,616","1,809,969",5.22%,33205,
5/3/2021,"112,914",0,"2,024,356","112,914","1,911,442",5.58%,28229,
6/3/2021,"127,608",0,"2,524,980","127,608","2,397,372",5.05%,25522,
7/3/2021,"139,720",0,"3,224,641","139,720","3,084,921",4.33%,23287,
8/3/2021,"166,363",0,"3,658,538","166,363","3,492,175",4.55%,23766,
9/3/2021,"195,923",0,"4,424,936","195,923","4,229,013",4.43%,24490,
10/3/2021,"223,923",0,"4,680,645","223,923","4,456,722",4.78%,24880,
11/3/2021,"249,909",0,"5,164,151","249,909","4,914,242",4.84%,24991,
12/3/2021,"275,851",0,"5,259,967","275,851","4,984,116",5.24%,25077,
13/3/2021,"292,104",0,"5,355,970","292,104","5,063,866",5.45%,24342,
14/3/2021,"301,699",0,"5,451,334","301,699","5,149,635",5.53%,23208,
15/3/2021,"321,331",0,"5,534,114","321,331","5,212,783",5.81%,22952,
16/3/2021,"346,508",0,"5,742,572","346,508","5,396,064",6.03%,23101,
17/3/2021,"367,203",0,"5,867,497","367,203","5,500,294",6.26%,22950,
18/3/2021,"384,334",792,"5,955,944","385,126","5,570,818",6.47%,22608,792
19/3/2021,"395,026","4,519","6,020,358","399,545","5,620,813",6.64%,21946,2260
20/3/2021,"402,650","10,604","6,084,588","413,254","5,671,334",6.79%,21192,3535
21/3/2021,"412,342","16,368","6,155,213","428,710","5,726,503",6.96%,20617,4092
22/3/2021,"422,058","30,861","6,336,805","452,919","5,883,886",7.15%,20098,6172
23/3/2021,"430,368","51,621","6,442,512","481,989","5,960,523",7.48%,19562,8604
24/3/2021,"436,687","74,289","6,529,706","510,976","6,018,730",7.83%,18986,10613
25/3/2021,"443,124","93,557","6,924,337","536,681","6,387,656",7.75%,18464,11695
26/3/2021,"446,617","104,931","7,094,484","551,548","6,542,936",7.77%,17865,11659
27/3/2021,"448,187","118,013","7,161,178","566,200","6,594,978",7.91%,17238,11801
28/3/2021,"451,655","129,110","7,235,436","580,765","6,654,671",8.03%,16728,11737
29/3/2021,"461,907","159,510","7,329,610","621,417","6,708,193",8.48%,16497,13293
30/3/2021,"473,276","188,385","7,421,658","661,661","6,759,997",8.92%,16320,14491
31/3/2021,"482,808","215,395","7,501,094","698,203","6,802,891",9.31%,16094,15385
1/4/2021,"498,468","241,758","7,625,478","740,226","6,885,252",9.71%,16080,16117
2/4/2021,"506,069","264,584","7,769,449","770,653","6,998,796",9.92%,15815,16537
3/4/2021,"508,481","279,023","7,808,785","787,504","7,021,281",10.08%,15409,16413
